agent,board,magnitude,frequency,seed,label,condition,shift_idx,to_opponent,returns_to_A,shift_at_step,baseline,threshold80,min_rolling,perf_drop,end_rolling,disrupted,recovered,recovery_games,adapt_cost_games,adapt_cost_ksteps,segment_games
feudal,13x13,high,f3,0,high-f3,greedy-phase2-high-f3,8,defensive,1,3300179,0.68,0.544,0.48,0.2,0.69,1,1,58,92.38,13.79,2302
feudal,13x13,high,f3,0,high-f3,greedy-phase2-high-f3,9,greedy,0,3650334,0.69,0.552,0.46,0.23,0.7,1,1,7,105.36,27.32,1293
feudal,13x13,high,f2,0,high-f2,greedy-phase2-high-f2,0,defensive,1,500204,0.63,0.504,0.16,0.47,0.4,1,1,951,1480.7,189.76,6947
feudal,13x13,high,f2,0,high-f2,greedy-phase2-high-f2,1,greedy,0,1400172,0.4,0.32,0.31,0.09,0.6,1,1,1,17.51,3.12,4795
feudal,13x13,high,f2,0,high-f2,greedy-phase2-high-f2,2,defensive,1,2300207,0.6,0.48,0.23,0.37,0.77,1,1,1,726.82,91.59,6655
feudal,13x13,high,f2,0,high-f2,greedy-phase2-high-f2,3,greedy,0,3200232,0.77,0.616,0.78,-0.01,0.88,0,1,0,0.0,0.0,2534
feudal,13x13,high,f2,1,high-f2,greedy-phase2-high-f2-s1,0,defensive,1,500244,0.61,0.488,0.3,0.31,0.39,1,1,1,626.81,81.88,6763
feudal,13x13,high,f2,1,high-f2,greedy-phase2-high-f2-s1,1,greedy,0,1400168,0.39,0.312,0.2,0.19,0.37,1,1,2,164.13,30.56,4695
feudal,13x13,high,f2,1,high-f2,greedy-phase2-high-f2-s1,2,defensive,1,2300814,0.37,0.296,0.23,0.14,0.35,1,1,26,44.97,5.16,7227
feudal,13x13,high,f2,1,high-f2,greedy-phase2-high-f2-s1,3,greedy,0,3200354,0.35,0.28,0.3,0.05,0.54,0,1,0,1.25,0.24,4303
feudal,13x13,med,f2,2,med-f2,corner-phase2-med-f2-s2,0,defensive,1,500806,0.5,0.4,0.5,0.0,0.69,0,1,0,0.0,0.0,4199
feudal,13x13,med,f2,2,med-f2,corner-phase2-med-f2-s2,1,corner,0,1400575,0.69,0.552,0.25,0.44,0.44,1,1,2,223.22,116.87,1725
feudal,13x13,med,f2,2,med-f2,corner-phase2-med-f2-s2,2,defensive,1,2302486,0.44,0.352,0.42,0.02,0.5,0,1,0,0.21,0.19,997
feudal,13x13,med,f2,2,med-f2,corner-phase2-med-f2-s2,3,corner,0,3201949,0.5,0.4,0.24,0.26,0.4,1,1,4,114.05,122.6,740
feudal,13x13,low,f3,1,low-f3,corner-phase2-low-f3-s1,0,edge,1,501745,0.55,0.44,0.54,0.01,0.78,0,1,0,0.01,0.01,508
feudal,13x13,low,f3,1,low-f3,corner-phase2-low-f3-s1,1,corner,0,851934,0.78,0.624,0.45,0.33,0.51,1,1,3,84.31,73.82,402
feudal,13x13,low,f3,1,low-f3,corner-phase2-low-f3-s1,2,edge,1,1201743,0.51,0.408,0.49,0.02,0.82,0,1,0,0.14,0.15,463
feudal,13x13,low,f3,1,low-f3,corner-phase2-low-f3-s1,3,corner,0,1550575,0.82,0.656,0.55,0.27,0.65,1,1,1,77.83,51.93,504
feudal,13x13,low,f3,1,low-f3,corner-phase2-low-f3-s1,4,edge,1,1901424,0.65,0.52,0.52,0.13,0.62,0,1,0,25.07,15.86,706
feudal,13x13,low,f3,1,low-f3,corner-phase2-low-f3-s1,5,corner,0,2250366,0.62,0.496,0.39,0.23,0.59,1,1,302,75.7,28.53,867
feudal,13x13,low,f3,1,low-f3,corner-phase2-low-f3-s1,6,edge,1,2600661,0.59,0.472,0.45,0.14,0.5,1,1,5,10.75,8.5,527
feudal,13x13,low,f3,1,low-f3,corner-phase2-low-f3-s1,7,corner,0,2950521,0.5,0.4,0.46,0.04,0.82,0,1,0,0.55,0.47,488
feudal,13x13,low,f3,1,low-f3,corner-phase2-low-f3-s1,8,edge,1,3300937,0.82,0.656,0.65,0.17,0.7,1,1,3,40.09,28.21,513
feudal,13x13,low,f3,1,low-f3,corner-phase2-low-f3-s1,9,corner,0,3650561,0.7,0.56,0.42,0.28,0.52,1,1,181,71.21,53.24,457
feudal,13x13,high,f1,1,high-f1,greedy-phase2-high-f1-s1,0,defensive,1,500244,0.61,0.488,0.18,0.43,0.33,1,1,1,4208.44,493.55,22230
feudal,13x13,high,f1,1,high-f1,greedy-phase2-high-f1-s1,1,greedy,0,3200216,0.33,0.264,0.31,0.02,0.4,0,1,0,0.11,0.01,4784
feudal,13x13,low,f2,0,low-f2,corner-phase2-low-f2,0,edge,1,500644,0.81,0.648,0.71,0.1,0.81,0,1,0,17.87,5.71,2532
feudal,13x13,low,f2,0,low-f2,corner-phase2-low-f2,1,corner,0,1400404,0.81,0.648,0.57,0.24,0.8,1,1,11,157.47,65.15,2207
feudal,13x13,low,f2,0,low-f2,corner-phase2-low-f2,2,edge,1,2300566,0.8,0.64,0.56,0.24,0.72,1,1,99,43.55,18.3,2424
feudal,13x13,low,f2,0,low-f2,corner-phase2-low-f2,3,corner,0,3201037,0.72,0.576,0.49,0.23,0.84,1,1,72,39.69,10.61,3020
feudal,13x13,low,f2,1,low-f2,corner-phase2-low-f2-s1,0,edge,1,501745,0.55,0.44,0.53,0.02,0.54,0,1,0,0.23,0.19,1237
feudal,13x13,low,f2,1,low-f2,corner-phase2-low-f2-s1,1,corner,0,1402105,0.54,0.432,0.49,0.05,0.62,0,1,0,1.8,1.55,1315
feudal,13x13,low,f2,1,low-f2,corner-phase2-low-f2-s1,2,edge,1,2300607,0.62,0.496,0.6,0.02,0.82,0,1,0,0.05,0.01,1785
feudal,13x13,low,f2,1,low-f2,corner-phase2-low-f2-s1,3,corner,0,3200896,0.82,0.656,0.39,0.43,0.53,1,1,107,322.94,213.32,1215
feudal,13x13,med,f1,0,med-f1,corner-phase2-med-f1,0,defensive,1,500621,0.81,0.648,0.33,0.48,0.91,1,1,6,2484.32,348.54,16558
feudal,13x13,med,f1,0,med-f1,corner-phase2-med-f1,1,corner,0,3200912,0.91,0.728,0.73,0.18,0.74,0,1,0,96.68,47.99,1920
feudal,13x13,med,f3,2,med-f3,corner-phase2-med-f3-s2,0,defensive,1,500806,0.5,0.4,0.5,0.0,0.77,0,1,0,0.0,0.0,1651
feudal,13x13,med,f3,2,med-f3,corner-phase2-med-f3-s2,1,corner,0,850459,0.77,0.616,0.5,0.27,0.53,1,1,2,54.58,37.89,579
feudal,13x13,med,f3,2,med-f3,corner-phase2-med-f3-s2,2,defensive,1,1200964,0.53,0.424,0.52,0.01,0.62,0,1,0,0.01,0.0,487
feudal,13x13,med,f3,2,med-f3,corner-phase2-med-f3-s2,3,corner,0,1550185,0.62,0.496,0.11,0.51,0.11,1,0,337,145.23,136.59,370
feudal,13x13,med,f3,2,med-f3,corner-phase2-med-f3-s2,4,defensive,1,1901451,0.11,0.088,0.11,0.0,0.66,0,1,0,0.0,0.0,933
feudal,13x13,med,f3,2,med-f3,corner-phase2-med-f3-s2,5,corner,0,2251208,0.66,0.528,0.42,0.24,0.49,1,1,1,47.68,40.77,421
feudal,13x13,med,f3,2,med-f3,corner-phase2-med-f3-s2,6,defensive,1,2601639,0.49,0.392,0.49,0.0,0.74,0,1,0,0.0,0.0,455
feudal,13x13,med,f3,2,med-f3,corner-phase2-med-f3-s2,7,corner,0,2951540,0.74,0.592,0.36,0.38,0.49,1,0,317,91.45,89.39,351
feudal,13x13,med,f3,2,med-f3,corner-phase2-med-f3-s2,8,defensive,1,3301296,0.49,0.392,0.49,0.0,0.6,0,1,0,0.0,0.0,466
feudal,13x13,med,f3,2,med-f3,corner-phase2-med-f3-s2,9,corner,0,3651395,0.6,0.48,0.31,0.29,0.33,1,0,259,64.1,68.77,330
feudal,13x13,low,f3,0,low-f3,corner-phase2-low-f3,0,edge,1,500644,0.81,0.648,0.71,0.1,0.84,0,1,0,15.72,4.98,1037
feudal,13x13,low,f3,0,low-f3,corner-phase2-low-f3,1,corner,0,850512,0.84,0.672,0.67,0.17,0.79,1,1,1,48.23,24.81,677
feudal,13x13,low,f3,0,low-f3,corner-phase2-low-f3,2,edge,1,1200994,0.79,0.632,0.65,0.14,0.66,0,1,0,27.14,17.17,565
feudal,13x13,low,f3,0,low-f3,corner-phase2-low-f3,3,corner,0,1551267,0.66,0.528,0.54,0.12,0.66,0,1,0,8.97,5.03,775
feudal,13x13,low,f3,0,low-f3,corner-phase2-low-f3,4,edge,1,1900414,0.66,0.528,0.61,0.05,0.75,0,1,0,1.59,0.58,789
feudal,13x13,low,f3,0,low-f3,corner-phase2-low-f3,5,corner,0,2250887,0.75,0.6,0.57,0.18,0.71,1,1,1,59.7,23.4,864
feudal,13x13,low,f3,0,low-f3,corner-phase2-low-f3,6,edge,1,2601087,0.71,0.568,0.71,0.0,0.82,0,1,0,0.0,0.0,1047
feudal,13x13,low,f3,0,low-f3,corner-phase2-low-f3,7,corner,0,2950914,0.82,0.656,0.73,0.09,0.75,0,1,0,8.79,4.5,755
feudal,13x13,low,f3,0,low-f3,corner-phase2-low-f3,8,edge,1,3300327,0.75,0.6,0.66,0.09,0.69,0,1,0,4.87,3.99,571
feudal,13x13,low,f3,0,low-f3,corner-phase2-low-f3,9,corner,0,3651789,0.69,0.552,0.56,0.13,0.61,0,1,0,10.46,9.49,434
feudal,13x13,low,f1,2,low-f1,corner-phase2-low-f1-s2,0,edge,1,501087,0.5,0.4,0.37,0.13,0.5,1,1,5,31.36,32.94,4225
feudal,13x13,low,f1,2,low-f1,corner-phase2-low-f1-s2,1,corner,0,3201430,0.5,0.4,0.13,0.37,0.61,1,1,17,360.6,66.59,3261
feudal,13x13,high,f3,2,high-f3,greedy-phase2-high-f3-s2,0,defensive,1,500330,0.64,0.512,0.33,0.31,0.37,1,1,2,253.1,35.27,2370
feudal,13x13,high,f3,2,high-f3,greedy-phase2-high-f3-s2,1,greedy,0,850127,0.37,0.296,0.36,0.01,0.51,0,1,0,0.04,0.01,1360
feudal,13x13,high,f3,2,high-f3,greedy-phase2-high-f3-s2,2,defensive,1,1200732,0.51,0.408,0.35,0.16,0.35,1,1,5,34.09,4.81,2281
feudal,13x13,high,f3,2,high-f3,greedy-phase2-high-f3-s2,3,greedy,0,1550275,0.35,0.28,0.18,0.17,0.22,1,1,1,22.31,4.45,1611
feudal,13x13,high,f3,2,high-f3,greedy-phase2-high-f3-s2,4,defensive,1,1900253,0.22,0.176,0.23,-0.01,0.55,0,1,0,0.0,0.0,2266
feudal,13x13,high,f3,2,high-f3,greedy-phase2-high-f3-s2,5,greedy,0,2250200,0.55,0.44,0.55,0.0,0.69,0,1,0,0.0,0.0,1098
feudal,13x13,high,f3,2,high-f3,greedy-phase2-high-f3-s2,6,defensive,1,2600291,0.69,0.552,0.28,0.41,0.53,1,1,24,315.48,46.91,2228
feudal,13x13,high,f3,2,high-f3,greedy-phase2-high-f3-s2,7,greedy,0,2950446,0.53,0.424,0.5,0.03,0.68,0,1,0,0.36,0.09,1058
feudal,13x13,high,f3,2,high-f3,greedy-phase2-high-f3-s2,8,defensive,1,3300252,0.68,0.544,0.47,0.21,0.61,1,1,1,127.77,19.18,2226
feudal,13x13,high,f3,2,high-f3,greedy-phase2-high-f3-s2,9,greedy,0,3650315,0.61,0.488,0.54,0.07,0.68,0,1,0,5.43,1.78,1194
feudal,13x13,med,f1,1,med-f1,corner-phase2-med-f1-s1,0,defensive,1,501235,0.55,0.44,0.3,0.25,0.59,1,1,3,449.06,53.71,17783
feudal,13x13,med,f1,1,med-f1,corner-phase2-med-f1-s1,1,corner,0,3200371,0.59,0.472,0.19,0.4,0.28,1,1,988,1098.99,193.83,4450
feudal,13x13,high,f1,0,high-f1,greedy-phase2-high-f1,0,defensive,1,500204,0.63,0.504,0.16,0.47,0.76,1,1,951,2464.6,313.65,19780
feudal,13x13,high,f1,0,high-f1,greedy-phase2-high-f1,1,greedy,0,3200223,0.76,0.608,0.28,0.48,0.28,1,1,2,455.6,107.97,2857
feudal,13x13,high,f2,2,high-f2,greedy-phase2-high-f2-s2,0,defensive,1,500330,0.64,0.512,0.22,0.42,0.52,1,1,2,1317.39,171.99,6621
feudal,13x13,high,f2,2,high-f2,greedy-phase2-high-f2-s2,1,greedy,0,1400267,0.52,0.416,0.23,0.29,0.59,1,1,217,297.72,57.22,4060
feudal,13x13,high,f2,2,high-f2,greedy-phase2-high-f2-s2,2,defensive,1,2300177,0.59,0.472,0.44,0.15,0.74,1,1,18,16.14,2.41,5200
feudal,13x13,high,f2,2,high-f2,greedy-phase2-high-f2-s2,3,greedy,0,3200780,0.74,0.592,0.42,0.32,0.55,1,1,1,180.67,59.27,2415
feudal,9x9,med,f2,1,med-f2,corner-phase2-med-f2-s1,0,defensive,1,300110,0.76,0.608,0.55,0.21,0.95,1,1,47,69.15,4.66,6810
feudal,9x9,med,f2,1,med-f2,corner-phase2-med-f2-s1,1,corner,0,800148,0.95,0.76,0.65,0.3,0.91,1,1,5,874.64,82.07,5232
feudal,9x9,med,f2,1,med-f2,corner-phase2-med-f2-s1,2,defensive,1,1300094,0.91,0.728,0.27,0.64,0.76,1,1,1495,1969.79,121.78,7865
feudal,9x9,med,f2,1,med-f2,corner-phase2-med-f2-s1,3,corner,0,1800074,0.76,0.608,0.62,0.14,0.84,0,1,0,62.11,4.78,6658
feudal,9x9,low,f3,2,low-f3,corner-phase2-low-f3-s2,0,edge,1,300124,0.72,0.576,0.53,0.19,0.77,1,1,39,80.51,5.8,2781
feudal,9x9,low,f3,2,low-f3,corner-phase2-low-f3-s2,1,corner,0,500081,0.77,0.616,0.45,0.32,0.79,1,1,5,288.62,23.42,2466
feudal,9x9,low,f3,2,low-f3,corner-phase2-low-f3-s2,2,edge,1,700104,0.79,0.632,0.58,0.21,0.8,1,1,12,109.22,7.58,2791
feudal,9x9,low,f3,2,low-f3,corner-phase2-low-f3-s2,3,corner,0,900079,0.8,0.64,0.52,0.28,0.52,1,1,2,208.27,16.92,2490
feudal,9x9,low,f3,2,low-f3,corner-phase2-low-f3-s2,4,edge,1,1100092,0.52,0.416,0.51,0.01,0.81,0,1,0,0.01,0.0,2581
feudal,9x9,low,f3,2,low-f3,corner-phase2-low-f3-s2,5,corner,0,1300115,0.81,0.648,0.52,0.29,0.6,1,1,3,215.25,18.5,2298
feudal,9x9,low,f3,2,low-f3,corner-phase2-low-f3-s2,6,edge,1,1500145,0.6,0.48,0.6,0.0,0.77,0,1,0,0.0,0.0,2487
feudal,9x9,low,f3,2,low-f3,corner-phase2-low-f3-s2,7,corner,0,1700152,0.77,0.616,0.22,0.55,0.49,1,1,83,557.74,49.26,2232
feudal,9x9,low,f3,2,low-f3,corner-phase2-low-f3-s2,8,edge,1,1900130,0.49,0.392,0.49,0.0,0.78,0,1,0,0.0,0.0,2304
feudal,9x9,low,f3,2,low-f3,corner-phase2-low-f3-s2,9,corner,0,2100112,0.78,0.624,0.43,0.35,0.66,1,1,690,231.35,42.85,1098
feudal,9x9,high,f1,2,high-f1,greedy-phase2-high-f1-s2,0,defensive,1,300059,0.82,0.656,0.21,0.61,0.49,1,1,252,7454.19,405.51,27435
feudal,9x9,high,f1,2,high-f1,greedy-phase2-high-f1-s2,1,greedy,0,1800081,0.49,0.392,0.47,0.02,0.74,0,1,0,0.12,0.01,7689
feudal,9x9,low,f1,0,low-f1,corner-phase2-low-f1,0,edge,1,300097,0.84,0.672,0.46,0.38,0.85,1,1,621,1073.27,82.59,20241
feudal,9x9,low,f1,0,low-f1,corner-phase2-low-f1,1,corner,0,1800169,0.85,0.68,0.63,0.22,0.91,1,1,7,195.3,15.68,6359
feudal,9x9,low,f2,2,low-f2,corner-phase2-low-f2-s2,0,edge,1,300124,0.72,0.576,0.53,0.19,0.75,1,1,39,91.78,6.6,6828
feudal,9x9,low,f2,2,low-f2,corner-phase2-low-f2-s2,1,corner,0,800150,0.75,0.6,0.47,0.28,0.82,1,1,312,107.03,8.88,6532
feudal,9x9,low,f2,2,low-f2,corner-phase2-low-f2-s2,2,edge,1,1300185,0.82,0.656,0.64,0.18,0.73,1,1,4,175.61,12.68,6816
feudal,9x9,low,f2,2,low-f2,corner-phase2-low-f2-s2,3,corner,0,1800090,0.73,0.584,0.61,0.12,0.85,0,1,0,11.4,0.9,6491
feudal,9x9,med,f3,0,med-f3,corner-phase2-med-f3,0,defensive,1,300116,0.84,0.672,0.43,0.41,0.88,1,1,800,408.22,30.02,2720
feudal,9x9,med,f3,0,med-f3,corner-phase2-med-f3,1,corner,0,500184,0.88,0.704,0.57,0.31,0.82,1,1,10,276.57,24.81,2287
feudal,9x9,med,f3,0,med-f3,corner-phase2-med-f3,2,defensive,1,700072,0.82,0.656,0.62,0.2,0.76,1,1,1,153.65,10.31,2925
feudal,9x9,med,f3,0,med-f3,corner-phase2-med-f3,3,corner,0,900229,0.76,0.608,0.51,0.25,0.78,1,1,1,139.98,12.77,2279
feudal,9x9,med,f3,0,med-f3,corner-phase2-med-f3,4,defensive,1,1100082,0.78,0.624,0.52,0.26,0.74,1,1,2,176.06,11.62,2916
feudal,9x9,med,f3,0,med-f3,corner-phase2-med-f3,5,corner,0,1300086,0.74,0.592,0.66,0.08,0.86,0,1,0,8.16,0.65,2573
feudal,9x9,med,f3,0,med-f3,corner-phase2-med-f3,6,defensive,1,1500090,0.86,0.688,0.68,0.18,0.78,1,1,2,169.76,11.85,2803
feudal,9x9,med,f3,0,med-f3,corner-phase2-med-f3,7,corner,0,1700125,0.78,0.624,0.68,0.1,0.81,0,1,0,30.72,2.53,2483
feudal,9x9,med,f3,0,med-f3,corner-phase2-med-f3,8,defensive,1,1900120,0.81,0.648,0.64,0.17,0.77,1,1,1,146.52,10.49,2760
feudal,9x9,med,f3,0,med-f3,corner-phase2-med-f3,9,corner,0,2100161,0.77,0.616,0.46,0.31,0.8,1,1,65,122.66,10.34,2454
feudal,9x9,med,f3,1,med-f3,corner-phase2-med-f3-s1,0,defensive,1,300110,0.76,0.608,0.55,0.21,0.68,1,1,47,51.72,3.49,2660
feudal,9x9,med,f3,1,med-f3,corner-phase2-med-f3-s1,1,corner,0,500162,0.68,0.544,0.68,0.0,0.85,0,1,0,0.0,0.0,1984
feudal,9x9,med,f3,1,med-f3,corner-phase2-med-f3-s1,2,defensive,1,700234,0.85,0.68,0.53,0.32,0.7,1,1,112,347.8,23.85,2890
feudal,9x9,med,f3,1,med-f3,corner-phase2-med-f3-s1,3,corner,0,900146,0.7,0.56,0.7,0.0,0.86,0,1,0,0.0,0.0,1986
feudal,9x9,med,f3,1,med-f3,corner-phase2-med-f3-s1,4,defensive,1,1100115,0.86,0.688,0.73,0.13,0.87,0,1,0,59.97,4.03,2916
feudal,9x9,med,f3,1,med-f3,corner-phase2-med-f3-s1,5,corner,0,1300126,0.87,0.696,0.78,0.09,0.78,0,1,0,24.55,3.19,1549
feudal,9x9,med,f3,1,med-f3,corner-phase2-med-f3-s1,6,defensive,1,1500183,0.78,0.624,0.74,0.04,0.89,0,1,0,1.84,0.13,2883
feudal,9x9,med,f3,1,med-f3,corner-phase2-med-f3-s1,7,corner,0,1700135,0.89,0.712,0.64,0.25,0.68,1,1,23,182.61,22.96,1604
feudal,9x9,med,f3,1,med-f3,corner-phase2-med-f3-s1,8,defensive,1,1900068,0.68,0.544,0.44,0.24,0.69,1,1,4,122.75,7.69,2930
feudal,9x9,med,f3,1,med-f3,corner-phase2-med-f3-s1,9,corner,0,2100184,0.69,0.552,0.36,0.33,0.96,1,1,198,61.53,5.7,2048
feudal,9x9,med,f2,0,med-f2,corner-phase2-med-f2,0,defensive,1,300116,0.84,0.672,0.35,0.49,0.52,1,1,800,879.69,60.54,7125
feudal,9x9,med,f2,0,med-f2,corner-phase2-med-f2,1,corner,0,800125,0.52,0.416,0.47,0.05,0.88,0,1,0,1.31,0.14,6119
feudal,9x9,med,f2,0,med-f2,corner-phase2-med-f2,2,defensive,1,1300099,0.88,0.704,0.55,0.33,0.93,1,1,88,601.56,40.43,7208
feudal,9x9,med,f2,0,med-f2,corner-phase2-med-f2,3,corner,0,1800112,0.93,0.744,0.69,0.24,0.88,1,1,87,593.38,56.37,5219
feudal,9x9,low,f1,1,low-f1,corner-phase2-low-f1-s1,0,edge,1,300066,0.76,0.608,0.46,0.3,0.88,1,1,4,241.17,18.31,19430
feudal,9x9,low,f1,1,low-f1,corner-phase2-low-f1-s1,1,corner,0,1800101,0.88,0.704,0.71,0.17,0.95,0,1,0,90.22,7.85,5918
feudal,9x9,high,f3,1,high-f3,greedy-phase2-high-f3-s1,0,defensive,1,300095,0.78,0.624,0.2,0.58,0.44,1,1,1,1115.73,65.0,3415
feudal,9x9,high,f3,1,high-f3,greedy-phase2-high-f3-s1,1,greedy,0,500067,0.44,0.352,0.45,-0.01,0.68,0,1,0,0.0,0.0,2664
feudal,9x9,high,f3,1,high-f3,greedy-phase2-high-f3-s1,2,defensive,1,700061,0.68,0.544,0.34,0.34,0.61,1,1,171,480.99,27.99,3423
feudal,9x9,high,f3,1,high-f3,greedy-phase2-high-f3-s1,3,greedy,0,900113,0.61,0.488,0.62,-0.01,0.87,0,1,0,0.0,0.0,2796
feudal,9x9,high,f3,1,high-f3,greedy-phase2-high-f3-s1,4,defensive,1,1100083,0.87,0.696,0.38,0.49,0.44,1,1,356,973.71,56.33,3422
feudal,9x9,high,f3,1,high-f3,greedy-phase2-high-f3-s1,5,greedy,0,1300100,0.44,0.352,0.44,0.0,0.87,0,1,0,0.0,0.0,2905
feudal,9x9,high,f3,1,high-f3,greedy-phase2-high-f3-s1,6,defensive,1,1500109,0.87,0.696,0.18,0.69,0.24,1,0,3747,1705.51,89.55,3776
feudal,9x9,high,f3,1,high-f3,greedy-phase2-high-f3-s1,7,greedy,0,1700130,0.24,0.192,0.25,-0.01,0.92,0,1,0,0.0,0.0,2924
feudal,9x9,high,f3,1,high-f3,greedy-phase2-high-f3-s1,8,defensive,1,1900099,0.92,0.736,0.31,0.61,0.36,1,0,3791,1738.22,90.3,3835
feudal,9x9,high,f3,1,high-f3,greedy-phase2-high-f3-s1,9,greedy,0,2100092,0.36,0.288,0.36,0.0,0.91,0,1,0,0.0,0.0,2792
feudal,9x9,med,f1,2,med-f1,corner-phase2-med-f1-s2,0,defensive,1,300100,0.72,0.576,0.47,0.25,0.84,1,1,72,257.22,18.03,20633
feudal,9x9,med,f1,2,med-f1,corner-phase2-med-f1-s2,1,corner,0,1800124,0.84,0.672,0.19,0.65,0.77,1,1,2891,1355.3,186.55,3379
feudal,9x9,high,f3,0,high-f3,greedy-phase2-high-f3,0,defensive,1,300057,0.87,0.696,0.24,0.63,0.57,1,1,3234,1239.4,74.2,3328
feudal,9x9,high,f3,0,high-f3,greedy-phase2-high-f3,1,greedy,0,500157,0.57,0.456,0.55,0.02,0.89,0,1,0,0.12,0.01,2677
feudal,9x9,high,f3,0,high-f3,greedy-phase2-high-f3,2,defensive,1,700071,0.89,0.712,0.4,0.49,0.56,1,0,3369,1173.5,68.1,3434
feudal,9x9,high,f3,0,high-f3,greedy-phase2-high-f3,3,greedy,0,900060,0.56,0.448,0.56,0.0,0.91,0,1,0,0.0,0.0,2954
feudal,9x9,high,f3,0,high-f3,greedy-phase2-high-f3,4,defensive,1,1100084,0.91,0.728,0.35,0.56,0.53,1,0,3450,1370.52,78.52,3484
feudal,9x9,high,f3,0,high-f3,greedy-phase2-high-f3,5,greedy,0,1300093,0.53,0.424,0.52,0.01,0.94,0,1,0,0.01,0.0,3007
feudal,9x9,high,f3,0,high-f3,greedy-phase2-high-f3,6,defensive,1,1500057,0.94,0.752,0.3,0.64,0.46,1,0,3556,1521.26,84.02,3601
feudal,9x9,high,f3,0,high-f3,greedy-phase2-high-f3,7,greedy,0,1700053,0.46,0.368,0.46,0.0,0.91,0,1,0,0.0,0.0,2973
feudal,9x9,high,f3,0,high-f3,greedy-phase2-high-f3,8,defensive,1,1900123,0.91,0.728,0.3,0.61,0.38,1,0,3566,1586.4,86.9,3630
feudal,9x9,high,f3,0,high-f3,greedy-phase2-high-f3,9,greedy,0,2100109,0.38,0.304,0.39,-0.01,0.81,0,1,0,0.0,0.0,3173
feudal,9x9,high,f2,0,high-f2,greedy-phase2-high-f2,0,defensive,1,300057,0.87,0.696,0.24,0.63,0.59,1,1,3234,2493.54,151.82,8154
feudal,9x9,high,f2,0,high-f2,greedy-phase2-high-f2,1,greedy,0,800104,0.59,0.472,0.58,0.01,0.82,0,1,0,0.01,0.0,6819
feudal,9x9,high,f2,0,high-f2,greedy-phase2-high-f2,2,defensive,1,1300082,0.82,0.656,0.5,0.32,0.68,1,1,89,1281.79,77.38,8241
feudal,9x9,high,f2,0,high-f2,greedy-phase2-high-f2,3,greedy,0,1800129,0.68,0.544,0.54,0.14,0.85,1,1,2,28.25,2.0,7314
feudal,9x9,high,f2,1,high-f2,greedy-phase2-high-f2-s1,0,defensive,1,300095,0.78,0.624,0.2,0.58,0.61,1,1,1,2189.11,126.11,8656
feudal,9x9,high,f2,1,high-f2,greedy-phase2-high-f2-s1,1,greedy,0,800109,0.61,0.488,0.59,0.02,0.94,0,1,0,0.15,0.01,6479
feudal,9x9,high,f2,1,high-f2,greedy-phase2-high-f2-s1,2,defensive,1,1300068,0.94,0.752,0.44,0.5,0.57,1,1,576,2910.19,165.97,8690
feudal,9x9,high,f2,1,high-f2,greedy-phase2-high-f2-s1,3,greedy,0,1800092,0.57,0.456,0.57,0.0,0.74,0,1,0,0.0,0.0,6951
feudal,9x9,med,f2,2,med-f2,corner-phase2-med-f2-s2,0,defensive,1,300100,0.72,0.576,0.47,0.25,0.8,1,1,72,172.88,12.33,6742
feudal,9x9,med,f2,2,med-f2,corner-phase2-med-f2-s2,1,corner,0,800091,0.8,0.64,0.53,0.27,0.79,1,1,107,418.56,37.25,5727
feudal,9x9,med,f2,2,med-f2,corner-phase2-med-f2-s2,2,defensive,1,1300104,0.79,0.632,0.48,0.31,0.86,1,1,100,63.26,4.26,6854
feudal,9x9,med,f2,2,med-f2,corner-phase2-med-f2-s2,3,corner,0,1800100,0.86,0.688,0.51,0.35,0.72,1,1,251,637.12,58.06,5560
feudal,9x9,low,f3,1,low-f3,corner-phase2-low-f3-s1,0,edge,1,300066,0.76,0.608,0.67,0.09,0.78,0,1,0,11.88,1.01,2514
feudal,9x9,low,f3,1,low-f3,corner-phase2-low-f3-s1,1,corner,0,500083,0.78,0.624,0.2,0.58,0.44,1,1,121,441.63,51.35,1868
feudal,9x9,low,f3,1,low-f3,corner-phase2-low-f3-s1,2,edge,1,700376,0.44,0.352,0.44,0.0,0.6,0,1,0,0.0,0.0,618
feudal,9x9,low,f3,1,low-f3,corner-phase2-low-f3-s1,3,corner,0,900355,0.6,0.48,0.48,0.12,0.52,0,1,0,9.54,4.26,467
feudal,9x9,low,f3,1,low-f3,corner-phase2-low-f3-s1,4,edge,1,1100592,0.52,0.416,0.4,0.12,0.53,1,1,1,11.64,5.15,492
feudal,9x9,low,f3,1,low-f3,corner-phase2-low-f3-s1,5,corner,0,1301016,0.53,0.424,0.31,0.22,0.4,1,1,28,47.57,23.34,403
feudal,9x9,low,f3,1,low-f3,corner-phase2-low-f3-s1,6,edge,1,1500125,0.4,0.32,0.29,0.11,0.38,1,1,13,6.02,2.93,457
feudal,9x9,low,f3,1,low-f3,corner-phase2-low-f3-s1,7,corner,0,1700959,0.38,0.304,0.36,0.02,0.53,0,1,0,0.12,0.06,454
feudal,9x9,low,f3,1,low-f3,corner-phase2-low-f3-s1,8,edge,1,1900902,0.53,0.424,0.35,0.18,0.75,1,1,19,25.63,12.6,495
feudal,9x9,low,f3,1,low-f3,corner-phase2-low-f3-s1,9,corner,0,2100817,0.75,0.6,0.35,0.4,0.42,1,0,329,106.22,56.52,402
