agent,board,magnitude,frequency,seed,label,condition,shift_idx,to_opponent,returns_to_A,shift_at_step,baseline,threshold80,min_rolling,perf_drop,end_rolling,disrupted,recovered,recovery_games,adapt_cost_games,adapt_cost_ksteps,segment_games
ppo,9x9,low,f3,1,low-f3,corner-phase2-low-f3-s1,9,corner,0,2100097,0.99,0.792,0.92,0.07,1.0,0,1,0,13.08,0.64,5246
ppo,9x9,high,f1,1,high-f1,greedy-phase2-high-f1-s1,0,defensive,1,300072,0.98,0.784,0.73,0.25,0.99,1,1,47,309.5,17.37,28233
ppo,9x9,high,f1,1,high-f1,greedy-phase2-high-f1-s1,1,greedy,0,1800104,0.99,0.792,0.89,0.1,1.0,0,1,0,128.36,9.85,6676
ppo,9x9,low,f2,0,low-f2,corner-phase2-low-f2,0,edge,1,300092,1.0,0.8,0.95,0.05,1.0,0,1,0,77.0,3.83,10641
ppo,9x9,low,f2,0,low-f2,corner-phase2-low-f2,1,corner,0,800046,1.0,0.8,0.98,0.02,0.99,0,1,0,40.15,1.56,12893
ppo,9x9,low,f2,0,low-f2,corner-phase2-low-f2,2,edge,1,1300067,0.99,0.792,0.9,0.09,1.0,0,1,0,27.53,1.24,12514
ppo,9x9,low,f2,0,low-f2,corner-phase2-low-f2,3,corner,0,1800154,1.0,0.8,0.94,0.06,0.99,0,1,0,19.58,0.77,13312
ppo,9x9,low,f2,1,low-f2,corner-phase2-low-f2-s1,0,edge,1,300078,1.0,0.8,0.94,0.06,1.0,0,1,0,105.0,5.05,10850
ppo,9x9,low,f2,1,low-f2,corner-phase2-low-f2-s1,1,corner,0,800044,1.0,0.8,0.96,0.04,0.99,0,1,0,53.9,2.1,13050
ppo,9x9,low,f2,1,low-f2,corner-phase2-low-f2-s1,2,edge,1,1300086,0.99,0.792,0.95,0.04,1.0,0,1,0,22.03,0.98,11940
ppo,9x9,low,f2,1,low-f2,corner-phase2-low-f2-s1,3,corner,0,1800066,1.0,0.8,0.91,0.09,0.99,0,1,0,56.81,2.28,13274
ppo,9x9,med,f1,0,med-f1,corner-phase2-med-f1,0,defensive,1,300070,1.0,0.8,0.78,0.22,0.97,1,1,4,670.77,37.36,27545
ppo,9x9,med,f1,0,med-f1,corner-phase2-med-f1,1,corner,0,1800222,0.97,0.776,0.95,0.02,1.0,0,1,0,1.88,0.15,9704
ppo,9x9,med,f3,2,med-f3,corner-phase2-med-f3-s2,0,defensive,1,300076,1.0,0.8,0.65,0.35,0.94,1,1,173,176.4,12.5,2839
ppo,9x9,med,f3,2,med-f3,corner-phase2-med-f3-s2,1,corner,0,500201,0.94,0.752,0.93,0.01,1.0,0,1,0,0.06,0.0,4890
ppo,9x9,med,f3,2,med-f3,corner-phase2-med-f3-s2,2,defensive,1,700099,1.0,0.8,0.85,0.15,0.97,0,1,0,112.93,7.09,3181
ppo,9x9,med,f3,2,med-f3,corner-phase2-med-f3-s2,3,corner,0,900136,0.97,0.776,0.91,0.06,1.0,0,1,0,5.09,0.51,4776
ppo,9x9,med,f3,2,med-f3,corner-phase2-med-f3-s2,4,defensive,1,1100086,1.0,0.8,0.92,0.08,0.94,0,1,0,86.15,5.24,3358
ppo,9x9,med,f3,2,med-f3,corner-phase2-med-f3-s2,5,corner,0,1300211,0.94,0.752,0.92,0.02,1.0,0,1,0,0.44,0.03,5298
ppo,9x9,med,f3,2,med-f3,corner-phase2-med-f3-s2,6,defensive,1,1500083,1.0,0.8,0.93,0.07,0.97,0,1,0,81.07,4.5,3586
ppo,9x9,med,f3,2,med-f3,corner-phase2-med-f3-s2,7,corner,0,1700123,0.97,0.776,0.93,0.04,0.99,0,1,0,3.5,0.23,5019
ppo,9x9,med,f3,2,med-f3,corner-phase2-med-f3-s2,8,defensive,1,1900085,0.99,0.792,0.88,0.11,0.98,0,1,0,77.05,4.43,3590
ppo,9x9,med,f3,2,med-f3,corner-phase2-med-f3-s2,9,corner,0,2100096,0.98,0.784,0.98,0.0,1.0,0,1,0,0.0,0.0,5304
ppo,9x9,low,f3,0,low-f3,corner-phase2-low-f3,0,edge,1,300092,1.0,0.8,0.95,0.05,1.0,0,1,0,38.0,2.21,3564
ppo,9x9,low,f3,0,low-f3,corner-phase2-low-f3,1,corner,0,500043,1.0,0.8,0.95,0.05,1.0,0,1,0,13.0,0.49,5341
ppo,9x9,low,f3,0,low-f3,corner-phase2-low-f3,2,edge,1,700062,1.0,0.8,0.95,0.05,0.99,0,1,0,34.67,1.6,4386
ppo,9x9,low,f3,0,low-f3,corner-phase2-low-f3,3,corner,0,900070,0.99,0.792,0.98,0.01,1.0,0,1,0,1.72,0.06,5329
ppo,9x9,low,f3,0,low-f3,corner-phase2-low-f3,4,edge,1,1100072,1.0,0.8,0.95,0.05,1.0,0,1,0,31.0,1.3,4772
ppo,9x9,low,f3,0,low-f3,corner-phase2-low-f3,5,corner,0,1300061,1.0,0.8,0.98,0.02,0.99,0,1,0,4.63,0.17,5339
