game_idx,global_step,opponent,win,rolling,shift_idx,games_since_shift
159,13084,corner,1,0.8200,-1,0
160,13135,corner,0,0.8100,-1,0
161,13193,corner,1,0.8100,-1,0
162,13274,corner,1,0.8100,-1,0
163,13334,corner,1,0.8100,-1,0
164,13404,corner,1,0.8100,-1,0
165,13471,corner,1,0.8100,-1,0
166,13541,corner,1,0.8100,-1,0
167,13617,corner,1,0.8100,-1,0
168,13700,corner,1,0.8100,-1,0
169,13809,corner,1,0.8100,-1,0
170,13880,corner,1,0.8200,-1,0
171,13956,corner,1,0.8200,-1,0
172,14055,corner,1,0.8300,-1,0
173,14106,corner,0,0.8200,-1,0
174,14170,corner,1,0.8200,-1,0
175,14245,corner,1,0.8300,-1,0
176,14352,corner,1,0.8300,-1,0
177,14435,corner,1,0.8300,-1,0
178,14490,corner,1,0.8300,-1,0
179,14552,corner,1,0.8300,-1,0
180,14620,corner,1,0.8400,-1,0
181,14702,corner,1,0.8400,-1,0
182,14777,corner,1,0.8400,-1,0
183,14863,corner,1,0.8400,-1,0
184,14936,corner,1,0.8500,-1,0
185,15012,corner,1,0.8500,-1,0
186,15081,corner,1,0.8500,-1,0
187,15161,corner,1,0.8500,-1,0
188,15230,corner,1,0.8500,-1,0
189,15278,corner,0,0.8400,-1,0
190,15379,corner,1,0.8400,-1,0
191,15425,corner,0,0.8300,-1,0
192,15490,corner,1,0.8300,-1,0
193,15575,corner,0,0.8200,-1,0
194,15652,corner,1,0.8200,-1,0
195,15712,corner,1,0.8200,-1,0
196,15802,corner,1,0.8300,-1,0
197,15889,corner,1,0.8300,-1,0
198,15982,corner,1,0.8400,-1,0
199,16071,corner,1,0.8400,-1,0
200,16144,corner,1,0.8400,-1,0
201,16225,corner,1,0.8400,-1,0
202,16313,corner,1,0.8400,-1,0
203,16418,corner,1,0.8400,-1,0
204,16516,corner,1,0.8500,-1,0
205,16589,corner,1,0.8500,-1,0
206,16766,corner,1,0.8500,-1,0
207,16841,corner,1,0.8500,-1,0
208,16928,corner,1,0.8500,-1,0
209,16997,corner,1,0.8500,-1,0
210,17059,corner,1,0.8600,-1,0
211,17115,corner,1,0.8600,-1,0
212,17220,corner,1,0.8600,-1,0
213,17362,corner,1,0.8600,-1,0
214,17470,corner,1,0.8600,-1,0
215,17525,corner,0,0.8500,-1,0
216,17586,corner,1,0.8500,-1,0
217,17677,corner,1,0.8500,-1,0
218,17761,corner,1,0.8500,-1,0
219,17816,corner,1,0.8500,-1,0
220,17907,corner,1,0.8500,-1,0
221,17960,corner,0,0.8400,-1,0
222,18025,corner,1,0.8500,-1,0
223,18111,corner,1,0.8600,-1,0
224,18175,corner,1,0.8600,-1,0
225,18259,corner,1,0.8600,-1,0
226,18352,corner,1,0.8700,-1,0
227,18420,corner,1,0.8700,-1,0
228,18512,corner,1,0.8700,-1,0
229,18580,corner,1,0.8700,-1,0
230,18674,corner,1,0.8700,-1,0
231,18744,corner,1,0.8700,-1,0
232,18818,corner,1,0.8800,-1,0
233,18885,corner,1,0.8800,-1,0
234,18975,corner,1,0.8800,-1,0
235,19020,corner,0,0.8800,-1,0
236,19071,corner,0,0.8700,-1,0
237,19204,corner,0,0.8600,-1,0
238,19306,corner,1,0.8600,-1,0
239,19410,corner,1,0.8600,-1,0
240,19503,corner,0,0.8500,-1,0
241,19549,corner,0,0.8500,-1,0
242,19629,corner,1,0.8500,-1,0
243,19709,corner,1,0.8600,-1,0
244,19773,corner,1,0.8600,-1,0
245,19833,corner,0,0.8500,-1,0
246,19913,corner,1,0.8500,-1,0
247,19981,corner,1,0.8600,-1,0
248,20151,corner,1,0.8600,-1,0
249,20229,corner,1,0.8600,-1,0
250,20331,corner,1,0.8600,-1,0
251,20403,corner,1,0.8600,-1,0
252,20474,corner,1,0.8600,-1,0
253,20566,corner,1,0.8600,-1,0
254,20642,corner,1,0.8600,-1,0
255,20712,corner,1,0.8600,-1,0
256,20775,corner,1,0.8600,-1,0
257,20825,corner,0,0.8500,-1,0
258,20898,corner,1,0.8600,-1,0
259,20979,corner,0,0.8500,-1,0
260,21061,corner,1,0.8600,-1,0
261,21119,corner,1,0.8600,-1,0
262,21207,corner,1,0.8600,-1,0
263,21289,corner,0,0.8500,-1,0
264,21365,corner,1,0.8500,-1,0
265,21451,corner,1,0.8500,-1,0
266,21515,corner,1,0.8500,-1,0
267,21601,corner,1,0.8500,-1,0
268,21667,corner,1,0.8500,-1,0
269,21752,corner,1,0.8500,-1,0
270,21830,corner,1,0.8500,-1,0
271,21894,corner,1,0.8500,-1,0
272,21948,corner,0,0.8400,-1,0
273,22022,corner,1,0.8500,-1,0
274,22094,corner,1,0.8500,-1,0
275,22197,corner,1,0.8500,-1,0
276,22289,corner,1,0.8500,-1,0
277,22361,corner,1,0.8500,-1,0
278,22430,corner,1,0.8500,-1,0
279,22485,corner,0,0.8400,-1,0
280,22551,corner,1,0.8400,-1,0
281,22615,corner,1,0.8400,-1,0
282,22683,corner,1,0.8400,-1,0
283,22779,corner,1,0.8400,-1,0
284,22878,corner,1,0.8400,-1,0
285,22924,corner,0,0.8300,-1,0
286,22998,corner,1,0.8300,-1,0
287,23139,corner,1,0.8300,-1,0
288,23184,corner,1,0.8300,-1,0
289,23350,corner,1,0.8400,-1,0
290,23429,corner,1,0.8400,-1,0
291,23543,corner,1,0.8500,-1,0
292,23608,corner,1,0.8500,-1,0
293,23685,corner,1,0.8600,-1,0
294,23766,corner,1,0.8600,-1,0
295,23844,corner,1,0.8600,-1,0
296,23914,corner,1,0.8600,-1,0
297,23980,corner,1,0.8600,-1,0
298,24043,corner,1,0.8600,-1,0
299,24102,corner,0,0.8500,-1,0
300,24154,corner,0,0.8400,-1,0
301,24220,corner,1,0.8400,-1,0
302,24287,corner,1,0.8400,-1,0
303,24383,corner,1,0.8400,-1,0
304,24454,corner,1,0.8400,-1,0
305,24524,corner,1,0.8400,-1,0
306,24612,corner,1,0.8400,-1,0
307,24669,corner,0,0.8300,-1,0
308,24766,corner,1,0.8300,-1,0
309,24840,corner,1,0.8300,-1,0
310,24905,corner,1,0.8300,-1,0
311,24982,corner,1,0.8300,-1,0
312,25068,corner,1,0.8300,-1,0
313,25160,corner,1,0.8300,-1,0
314,25231,corner,1,0.8300,-1,0
315,25308,corner,1,0.8400,-1,0
316,25389,corner,1,0.8400,-1,0
317,25442,corner,0,0.8300,-1,0
318,25573,corner,0,0.8200,-1,0
319,25654,corner,1,0.8200,-1,0
320,25750,corner,1,0.8200,-1,0
321,25825,corner,1,0.8300,-1,0
322,25918,corner,1,0.8300,-1,0
323,26015,corner,1,0.8300,-1,0
324,26096,corner,1,0.8300,-1,0
325,26165,corner,1,0.8300,-1,0
326,26238,corner,1,0.8300,-1,0
327,26284,corner,0,0.8200,-1,0
328,26390,corner,1,0.8200,-1,0
329,26480,corner,1,0.8200,-1,0
330,26576,corner,1,0.8200,-1,0
331,26624,corner,0,0.8100,-1,0
332,26687,corner,1,0.8100,-1,0
333,26768,corner,0,0.8000,-1,0
334,26863,corner,1,0.8000,-1,0
335,27027,corner,1,0.8100,-1,0
336,27105,corner,1,0.8200,-1,0
337,27179,corner,1,0.8300,-1,0
338,27241,corner,1,0.8300,-1,0
339,27314,corner,1,0.8300,-1,0
340,27384,corner,1,0.8400,-1,0
341,27452,corner,1,0.8500,-1,0
342,27511,corner,1,0.8500,-1,0
343,27593,corner,1,0.8500,-1,0
344,27673,corner,1,0.8500,-1,0
345,27751,corner,1,0.8600,-1,0
346,27834,corner,1,0.8600,-1,0
347,27896,corner,1,0.8600,-1,0
348,27969,corner,1,0.8600,-1,0
349,28043,corner,1,0.8600,-1,0
350,28112,corner,1,0.8600,-1,0
