  Step     2,048 | Games     53 | WinRate(last100) 50.9% | epLen  38.6 | KL 0.0045
  Step   587,776 | Games 17,946 | WinRate(last100) 95.0% | epLen  31.2 | KL 0.0192
  Step   589,824 | Games 18,010 | WinRate(last100) 95.0% | epLen  31.9 | KL 0.0195
  Step   591,872 | Games 18,073 | WinRate(last100) 97.0% | epLen  32.6 | KL 0.0147
  Step   593,920 | Games 18,139 | WinRate(last100) 98.0% | epLen  31.7 | KL 0.0155
  Step   595,968 | Games 18,202 | WinRate(last100) 98.0% | epLen  31.8 | KL 0.0125
  Step   598,016 | Games 18,265 | WinRate(last100) 96.0% | epLen  32.3 | KL 0.0173
  Step   600,064 | Games 18,328 | WinRate(last100) 96.0% | epLen  32.8 | KL 0.0140
  Step   602,112 | Games 18,394 | WinRate(last100) 98.0% | epLen  31.7 | KL 0.0147
  ✓ saved ./models/ppo_go/ppo_go_602112.pt
  Step   604,160 | Games 18,457 | WinRate(last100) 100.0% | epLen  31.7 | KL 0.0118
  Step   606,208 | Games 18,523 | WinRate(last100) 100.0% | epLen  31.8 | KL 0.0187
  Step   608,256 | Games 18,588 | WinRate(last100) 98.0% | epLen  31.1 | KL 0.0149
  Step   610,304 | Games 18,654 | WinRate(last100) 98.0% | epLen  30.8 | KL 0.0114
  Step   612,352 | Games 18,722 | WinRate(last100) 99.0% | epLen  30.6 | KL 0.0192
  Step   614,400 | Games 18,787 | WinRate(last100) 97.0% | epLen  30.7 | KL 0.0238
  Step   616,448 | Games 18,853 | WinRate(last100) 95.0% | epLen  30.7 | KL 0.0137
  Step   618,496 | Games 18,920 | WinRate(last100) 97.0% | epLen  30.8 | KL 0.0187
  Step   620,544 | Games 18,988 | WinRate(last100) 97.0% | epLen  30.1 | KL 0.0127
  Step   622,592 | Games 19,056 | WinRate(last100) 96.0% | epLen  30.0 | KL 0.0122
  Step   624,640 | Games 19,121 | WinRate(last100) 97.0% | epLen  31.0 | KL 0.0119
  Step   626,688 | Games 19,188 | WinRate(last100) 95.0% | epLen  31.0 | KL 0.0277
  Step   628,736 | Games 19,256 | WinRate(last100) 96.0% | epLen  30.7 | KL 0.0125
  Step   630,784 | Games 19,321 | WinRate(last100) 96.0% | epLen  31.0 | KL 0.0155
  Step   632,832 | Games 19,389 | WinRate(last100) 95.0% | epLen  30.8 | KL 0.0114
  Step   634,880 | Games 19,453 | WinRate(last100) 97.0% | epLen  30.9 | KL 0.0154
  Step   636,928 | Games 19,516 | WinRate(last100) 97.0% | epLen  32.6 | KL 0.0137
  Step   638,976 | Games 19,585 | WinRate(last100) 97.0% | epLen  30.7 | KL 0.0139
  Step   641,024 | Games 19,651 | WinRate(last100) 95.0% | epLen  30.3 | KL 0.0157
  Step   643,072 | Games 19,717 | WinRate(last100) 96.0% | epLen  30.6 | KL 0.0134
  Step   645,120 | Games 19,784 | WinRate(last100) 98.0% | epLen  30.9 | KL 0.0107
  Step   647,168 | Games 19,849 | WinRate(last100) 99.0% | epLen  31.2 | KL 0.0138
  Step   649,216 | Games 19,914 | WinRate(last100) 98.0% | epLen  31.4 | KL 0.0193
  Step   651,264 | Games 19,980 | WinRate(last100) 98.0% | epLen  31.6 | KL 0.0222
  Step   653,312 | Games 20,047 | WinRate(last100) 98.0% | epLen  30.6 | KL 0.0144
  Step   655,360 | Games 20,116 | WinRate(last100) 98.0% | epLen  30.1 | KL 0.0139
  Step   657,408 | Games 20,183 | WinRate(last100) 99.0% | epLen  30.2 | KL 0.0120
  Step   659,456 | Games 20,251 | WinRate(last100) 96.0% | epLen  29.9 | KL 0.0165
  Step   661,504 | Games 20,315 | WinRate(last100) 98.0% | epLen  31.3 | KL 0.0112
  Step   663,552 | Games 20,383 | WinRate(last100) 99.0% | epLen  31.1 | KL 0.0119
  Step   665,600 | Games 20,451 | WinRate(last100) 97.0% | epLen  30.2 | KL 0.0159
  Step   667,648 | Games 20,519 | WinRate(last100) 98.0% | epLen  29.7 | KL 0.0237
  Step   669,696 | Games 20,587 | WinRate(last100) 95.0% | epLen  30.1 | KL 0.0184
  Step   671,744 | Games 20,653 | WinRate(last100) 92.0% | epLen  30.9 | KL 0.0218
  Step   673,792 | Games 20,725 | WinRate(last100) 96.0% | epLen  29.1 | KL 0.0134
  Step   675,840 | Games 20,793 | WinRate(last100) 99.0% | epLen  29.6 | KL 0.0162
  Step   677,888 | Games 20,862 | WinRate(last100) 99.0% | epLen  29.4 | KL 0.0178
  Step   679,936 | Games 20,933 | WinRate(last100) 97.0% | epLen  29.3 | KL 0.0262
  Step   681,984 | Games 20,999 | WinRate(last100) 97.0% | epLen  30.5 | KL 0.0202
  Step   684,032 | Games 21,068 | WinRate(last100) 98.0% | epLen  30.3 | KL 0.0163
  Step   686,080 | Games 21,138 | WinRate(last100) 96.0% | epLen  29.5 | KL 0.0161
  Step   688,128 | Games 21,207 | WinRate(last100) 96.0% | epLen  29.5 | KL 0.0162
  Step   690,176 | Games 21,275 | WinRate(last100) 97.0% | epLen  30.0 | KL 0.0195
  Step   692,224 | Games 21,345 | WinRate(last100) 100.0% | epLen  29.5 | KL 0.0180
  Step   694,272 | Games 21,416 | WinRate(last100) 97.0% | epLen  28.8 | KL 0.0131
  Step   696,320 | Games 21,489 | WinRate(last100) 98.0% | epLen  28.3 | KL 0.0254
  Step   698,368 | Games 21,557 | WinRate(last100) 96.0% | epLen  29.3 | KL 0.0144
  Step   700,416 | Games 21,628 | WinRate(last100) 97.0% | epLen  29.7 | KL 0.0157
  Step   702,464 | Games 21,697 | WinRate(last100) 99.0% | epLen  29.4 | KL 0.0155
  Step   704,512 | Games 21,766 | WinRate(last100) 98.0% | epLen  29.8 | KL 0.0200
  Step   706,560 | Games 21,837 | WinRate(last100) 94.0% | epLen  28.9 | KL 0.0191
  Step   708,608 | Games 21,906 | WinRate(last100) 95.0% | epLen  28.6 | KL 0.0135
  Step   710,656 | Games 21,973 | WinRate(last100) 99.0% | epLen  29.8 | KL 0.0175
  Step   712,704 | Games 22,044 | WinRate(last100) 98.0% | epLen  29.4 | KL 0.0132
  Step   714,752 | Games 22,119 | WinRate(last100) 97.0% | epLen  27.6 | KL 0.0162
  Step   716,800 | Games 22,191 | WinRate(last100) 97.0% | epLen  28.7 | KL 0.0163
  Step   718,848 | Games 22,263 | WinRate(last100) 98.0% | epLen  28.3 | KL 0.0154
  Step   720,896 | Games 22,331 | WinRate(last100) 96.0% | epLen  29.8 | KL 0.0190
  Step   722,944 | Games 22,399 | WinRate(last100) 98.0% | epLen  30.4 | KL 0.0127
  Step   724,992 | Games 22,467 | WinRate(last100) 97.0% | epLen  30.2 | KL 0.0133
  Step   727,040 | Games 22,538 | WinRate(last100) 98.0% | epLen  29.3 | KL 0.0118
  Step   729,088 | Games 22,607 | WinRate(last100) 96.0% | epLen  29.2 | KL 0.0098
  Step   731,136 | Games 22,675 | WinRate(last100) 96.0% | epLen  30.5 | KL 0.0149
  Step   733,184 | Games 22,740 | WinRate(last100) 93.0% | epLen  31.1 | KL 0.0174
  Step   735,232 | Games 22,808 | WinRate(last100) 95.0% | epLen  30.7 | KL 0.0160
  Step   737,280 | Games 22,878 | WinRate(last100) 98.0% | epLen  29.4 | KL 0.0197
  Step   739,328 | Games 22,949 | WinRate(last100) 96.0% | epLen  29.5 | KL 0.0231
  Step   741,376 | Games 23,021 | WinRate(last100) 99.0% | epLen  28.2 | KL 0.0172
  Step   743,424 | Games 23,093 | WinRate(last100) 97.0% | epLen  28.6 | KL 0.0210
  Step   745,472 | Games 23,162 | WinRate(last100) 98.0% | epLen  29.2 | KL 0.0186
  Step   747,520 | Games 23,232 | WinRate(last100) 99.0% | epLen  29.4 | KL 0.0177
  Step   749,568 | Games 23,303 | WinRate(last100) 96.0% | epLen  29.0 | KL 0.0244
  Step   751,616 | Games 23,373 | WinRate(last100) 96.0% | epLen  29.1 | KL 0.0193
  Step   753,664 | Games 23,443 | WinRate(last100) 98.0% | epLen  29.2 | KL 0.0146
  Step   755,712 | Games 23,514 | WinRate(last100) 98.0% | epLen  28.9 | KL 0.0171
  Step   757,760 | Games 23,589 | WinRate(last100) 95.0% | epLen  27.7 | KL 0.0210
  Step   759,808 | Games 23,660 | WinRate(last100) 94.0% | epLen  28.2 | KL 0.0130
  Step   761,856 | Games 23,730 | WinRate(last100) 98.0% | epLen  28.9 | KL 0.0149
  Step   763,904 | Games 23,799 | WinRate(last100) 98.0% | epLen  29.5 | KL 0.0144
  Step   765,952 | Games 23,869 | WinRate(last100) 98.0% | epLen  29.2 | KL 0.0122
  Step   768,000 | Games 23,938 | WinRate(last100) 99.0% | epLen  29.4 | KL 0.0129
  Step   770,048 | Games 24,008 | WinRate(last100) 98.0% | epLen  29.5 | KL 0.0139
  Step   772,096 | Games 24,078 | WinRate(last100) 99.0% | epLen  29.1 | KL 0.0160
  Step   774,144 | Games 24,145 | WinRate(last100) 98.0% | epLen  30.0 | KL 0.0166
  Step   776,192 | Games 24,215 | WinRate(last100) 98.0% | epLen  29.6 | KL 0.0156
  Step   778,240 | Games 24,288 | WinRate(last100) 98.0% | epLen  28.4 | KL 0.0179
  Step   780,288 | Games 24,357 | WinRate(last100) 97.0% | epLen  29.1 | KL 0.0219
  Step   782,336 | Games 24,427 | WinRate(last100) 98.0% | epLen  29.5 | KL 0.0164
  Step   784,384 | Games 24,497 | WinRate(last100) 99.0% | epLen  29.0 | KL 0.0172
  Step   786,432 | Games 24,566 | WinRate(last100) 99.0% | epLen  29.8 | KL 0.0162
  Step   788,480 | Games 24,635 | WinRate(last100) 97.0% | epLen  29.8 | KL 0.0159
  Step   790,528 | Games 24,706 | WinRate(last100) 99.0% | epLen  29.3 | KL 0.0191
  Step   792,576 | Games 24,776 | WinRate(last100) 99.0% | epLen  29.0 | KL 0.0122
  Step   794,624 | Games 24,847 | WinRate(last100) 98.0% | epLen  29.0 | KL 0.0149
  Step   796,672 | Games 24,915 | WinRate(last100) 99.0% | epLen  29.1 | KL 0.0148
  Step   798,720 | Games 24,982 | WinRate(last100) 99.0% | epLen  30.6 | KL 0.0225
  Step   800,768 | Games 25,053 | WinRate(last100) 99.0% | epLen  29.9 | KL 0.0181
  Step   802,816 | Games 25,121 | WinRate(last100) 98.0% | epLen  29.8 | KL 0.0211
  ✓ saved ./models/ppo_go/ppo_go_802816.pt
  Step   804,864 | Games 25,190 | WinRate(last100) 99.0% | epLen  30.0 | KL 0.0142
  Step   806,912 | Games 25,258 | WinRate(last100) 100.0% | epLen  30.0 | KL 0.0198
  Step   808,960 | Games 25,327 | WinRate(last100) 99.0% | epLen  29.9 | KL 0.0230
  Step   811,008 | Games 25,397 | WinRate(last100) 100.0% | epLen  29.7 | KL 0.0185
  Step   813,056 | Games 25,466 | WinRate(last100) 98.0% | epLen  29.6 | KL 0.0114
  Step   815,104 | Games 25,533 | WinRate(last100) 98.0% | epLen  30.1 | KL 0.0182
  Step   817,152 | Games 25,601 | WinRate(last100) 98.0% | epLen  30.4 | KL 0.0139
  Step   819,200 | Games 25,667 | WinRate(last100) 100.0% | epLen  30.7 | KL 0.0188
  Step   821,248 | Games 25,735 | WinRate(last100) 99.0% | epLen  30.3 | KL 0.0216
  Step   823,296 | Games 25,804 | WinRate(last100) 98.0% | epLen  30.1 | KL 0.0126
  Step   825,344 | Games 25,869 | WinRate(last100) 99.0% | epLen  30.6 | KL 0.0200
  Step   827,392 | Games 25,937 | WinRate(last100) 99.0% | epLen  30.2 | KL 0.0234
  Step   829,440 | Games 26,007 | WinRate(last100) 99.0% | epLen  29.5 | KL 0.0177
  Step   831,488 | Games 26,074 | WinRate(last100) 99.0% | epLen  30.4 | KL 0.0145
  Step   833,536 | Games 26,142 | WinRate(last100) 99.0% | epLen  30.4 | KL 0.0172
  Step   835,584 | Games 26,211 | WinRate(last100) 99.0% | epLen  29.8 | KL 0.0206
  Step   837,632 | Games 26,280 | WinRate(last100) 98.0% | epLen  30.1 | KL 0.0186
  Step   839,680 | Games 26,349 | WinRate(last100) 98.0% | epLen  29.4 | KL 0.0197
  Step   841,728 | Games 26,417 | WinRate(last100) 99.0% | epLen  30.3 | KL 0.0240
  Step   843,776 | Games 26,484 | WinRate(last100) 99.0% | epLen  30.3 | KL 0.0159
  Step   845,824 | Games 26,551 | WinRate(last100) 99.0% | epLen  30.8 | KL 0.0208
  Step   847,872 | Games 26,620 | WinRate(last100) 99.0% | epLen  29.7 | KL 0.0236
  Step   849,920 | Games 26,688 | WinRate(last100) 97.0% | epLen  30.1 | KL 0.0190
  Step   851,968 | Games 26,758 | WinRate(last100) 99.0% | epLen  29.5 | KL 0.0200
  Step   854,016 | Games 26,827 | WinRate(last100) 99.0% | epLen  29.7 | KL 0.0198
  Step   856,064 | Games 26,895 | WinRate(last100) 99.0% | epLen  29.7 | KL 0.0168
  Step   858,112 | Games 26,964 | WinRate(last100) 98.0% | epLen  29.6 | KL 0.0146
  Step   860,160 | Games 27,036 | WinRate(last100) 97.0% | epLen  29.1 | KL 0.0242
  Step   862,208 | Games 27,107 | WinRate(last100) 99.0% | epLen  29.0 | KL 0.0245
  Step   864,256 | Games 27,175 | WinRate(last100) 97.0% | epLen  29.7 | KL 0.0189
  Step   866,304 | Games 27,243 | WinRate(last100) 99.0% | epLen  29.8 | KL 0.0235
  Step   868,352 | Games 27,311 | WinRate(last100) 99.0% | epLen  30.2 | KL 0.0203
  Step   870,400 | Games 27,377 | WinRate(last100) 99.0% | epLen  30.2 | KL 0.0210
  Step   872,448 | Games 27,447 | WinRate(last100) 99.0% | epLen  30.1 | KL 0.0180
  Step   874,496 | Games 27,515 | WinRate(last100) 99.0% | epLen  30.0 | KL 0.0188
  Step   876,544 | Games 27,582 | WinRate(last100) 99.0% | epLen  30.7 | KL 0.0151
  Step   878,592 | Games 27,653 | WinRate(last100) 99.0% | epLen  29.7 | KL 0.0221
  Step   880,640 | Games 27,722 | WinRate(last100) 100.0% | epLen  29.3 | KL 0.0193
  Step   882,688 | Games 27,791 | WinRate(last100) 99.0% | epLen  29.5 | KL 0.0163
  Step   884,736 | Games 27,860 | WinRate(last100) 98.0% | epLen  29.4 | KL 0.0128
  Step   886,784 | Games 27,929 | WinRate(last100) 97.0% | epLen  29.9 | KL 0.0238
  Step   888,832 | Games 27,997 | WinRate(last100) 97.0% | epLen  30.1 | KL 0.0213
  Step   890,880 | Games 28,065 | WinRate(last100) 100.0% | epLen  30.3 | KL 0.0224
  Step   892,928 | Games 28,135 | WinRate(last100) 99.0% | epLen  29.9 | KL 0.0289
  Step   894,976 | Games 28,204 | WinRate(last100) 98.0% | epLen  29.6 | KL 0.0216
  Step   897,024 | Games 28,272 | WinRate(last100) 99.0% | epLen  30.2 | KL 0.0192
  Step   899,072 | Games 28,342 | WinRate(last100) 100.0% | epLen  29.3 | KL 0.0253
  Step   901,120 | Games 28,411 | WinRate(last100) 98.0% | epLen  29.4 | KL 0.0128
  Step   903,168 | Games 28,482 | WinRate(last100) 98.0% | epLen  29.0 | KL 0.0233
  Step   905,216 | Games 28,550 | WinRate(last100) 99.0% | epLen  29.9 | KL 0.0289
  Step   907,264 | Games 28,620 | WinRate(last100) 99.0% | epLen  29.5 | KL 0.0219
  Step   909,312 | Games 28,689 | WinRate(last100) 100.0% | epLen  29.8 | KL 0.0187
  Step   911,360 | Games 28,758 | WinRate(last100) 100.0% | epLen  29.8 | KL 0.0248
  Step   913,408 | Games 28,829 | WinRate(last100) 100.0% | epLen  29.3 | KL 0.0222
  Step   915,456 | Games 28,898 | WinRate(last100) 99.0% | epLen  29.3 | KL 0.0294
  Step   917,504 | Games 28,970 | WinRate(last100) 96.0% | epLen  29.1 | KL 0.0217
  Step   919,552 | Games 29,041 | WinRate(last100) 98.0% | epLen  28.7 | KL 0.0223
  Step   921,600 | Games 29,112 | WinRate(last100) 99.0% | epLen  28.9 | KL 0.0175
  Step   923,648 | Games 29,181 | WinRate(last100) 99.0% | epLen  29.6 | KL 0.0238
  Step   925,696 | Games 29,252 | WinRate(last100) 97.0% | epLen  28.6 | KL 0.0187
  Step   927,744 | Games 29,323 | WinRate(last100) 99.0% | epLen  28.9 | KL 0.0205
  Step   929,792 | Games 29,393 | WinRate(last100) 99.0% | epLen  29.2 | KL 0.0227
  Step   931,840 | Games 29,466 | WinRate(last100) 100.0% | epLen  28.3 | KL 0.0209
  Step   933,888 | Games 29,537 | WinRate(last100) 95.0% | epLen  28.4 | KL 0.0312
  Step   935,936 | Games 29,609 | WinRate(last100) 96.0% | epLen  28.4 | KL 0.0224
  Step   937,984 | Games 29,681 | WinRate(last100) 97.0% | epLen  28.1 | KL 0.0327
  Step   940,032 | Games 29,752 | WinRate(last100) 99.0% | epLen  28.9 | KL 0.0212
  Step   942,080 | Games 29,822 | WinRate(last100) 98.0% | epLen  28.8 | KL 0.0154
  Step   944,128 | Games 29,890 | WinRate(last100) 100.0% | epLen  30.0 | KL 0.0271
  Step   946,176 | Games 29,963 | WinRate(last100) 99.0% | epLen  28.8 | KL 0.0248
  Step   948,224 | Games 30,034 | WinRate(last100) 98.0% | epLen  29.0 | KL 0.0248
  Step   950,272 | Games 30,104 | WinRate(last100) 98.0% | epLen  28.9 | KL 0.0266
  Step   952,320 | Games 30,176 | WinRate(last100) 99.0% | epLen  28.8 | KL 0.0202
  Step   954,368 | Games 30,247 | WinRate(last100) 100.0% | epLen  29.0 | KL 0.0224
  Step   956,416 | Games 30,318 | WinRate(last100) 97.0% | epLen  28.8 | KL 0.0400
  Step   958,464 | Games 30,388 | WinRate(last100) 96.0% | epLen  28.8 | KL 0.0170
  Step   960,512 | Games 30,460 | WinRate(last100) 94.0% | epLen  28.8 | KL 0.0346
  Step   962,560 | Games 30,532 | WinRate(last100) 98.0% | epLen  28.5 | KL 0.0183
  Step   964,608 | Games 30,601 | WinRate(last100) 97.0% | epLen  29.4 | KL 0.0172
  Step   966,656 | Games 30,671 | WinRate(last100) 99.0% | epLen  29.1 | KL 0.0220
  Step   968,704 | Games 30,743 | WinRate(last100) 100.0% | epLen  28.9 | KL 0.0188
  Step   970,752 | Games 30,816 | WinRate(last100) 100.0% | epLen  28.3 | KL 0.0247
  Step   972,800 | Games 30,888 | WinRate(last100) 97.0% | epLen  28.2 | KL 0.0221
  Step   974,848 | Games 30,961 | WinRate(last100) 99.0% | epLen  28.4 | KL 0.0149
  Step   976,896 | Games 31,035 | WinRate(last100) 99.0% | epLen  27.6 | KL 0.0221
  Step   978,944 | Games 31,104 | WinRate(last100) 97.0% | epLen  28.8 | KL 0.0250
  Step   980,992 | Games 31,174 | WinRate(last100) 98.0% | epLen  29.5 | KL 0.0231
  Step   983,040 | Games 31,247 | WinRate(last100) 99.0% | epLen  28.2 | KL 0.0246
  Step   985,088 | Games 31,318 | WinRate(last100) 98.0% | epLen  28.6 | KL 0.0195
  Step   987,136 | Games 31,390 | WinRate(last100) 99.0% | epLen  28.6 | KL 0.0243
  Step   989,184 | Games 31,462 | WinRate(last100) 99.0% | epLen  28.8 | KL 0.0227
  Step   991,232 | Games 31,535 | WinRate(last100) 96.0% | epLen  27.8 | KL 0.0282
  Step   993,280 | Games 31,608 | WinRate(last100) 96.0% | epLen  28.2 | KL 0.0312
  Step   995,328 | Games 31,681 | WinRate(last100) 99.0% | epLen  27.9 | KL 0.0184
  Step   997,376 | Games 31,752 | WinRate(last100) 99.0% | epLen  28.3 | KL 0.0196
  Step   999,424 | Games 31,828 | WinRate(last100) 98.0% | epLen  27.7 | KL 0.0181
  Step 1,001,472 | Games 31,899 | WinRate(last100) 100.0% | epLen  28.4 | KL 0.0227
  Step 1,003,520 | Games 31,971 | WinRate(last100) 100.0% | epLen  28.7 | KL 0.0250
  ✓ saved ./models/ppo_go/ppo_go_1003520.pt
  Step 1,005,568 | Games 32,041 | WinRate(last100) 99.0% | epLen  28.6 | KL 0.0201
  Step 1,007,616 | Games 32,112 | WinRate(last100) 99.0% | epLen  28.7 | KL 0.0219
  Step 1,009,664 | Games 32,184 | WinRate(last100) 100.0% | epLen  28.4 | KL 0.0201
  Step 1,011,712 | Games 32,255 | WinRate(last100) 99.0% | epLen  28.8 | KL 0.0220
  Step 1,013,760 | Games 32,325 | WinRate(last100) 100.0% | epLen  29.4 | KL 0.0273
  Step 1,015,808 | Games 32,397 | WinRate(last100) 100.0% | epLen  28.9 | KL 0.0216
  Step 1,017,856 | Games 32,469 | WinRate(last100) 97.0% | epLen  28.3 | KL 0.0199
  Step 1,019,904 | Games 32,541 | WinRate(last100) 99.0% | epLen  28.3 | KL 0.0226
  Step 1,021,952 | Games 32,612 | WinRate(last100) 99.0% | epLen  28.7 | KL 0.0174
  Step 1,024,000 | Games 32,684 | WinRate(last100) 99.0% | epLen  28.7 | KL 0.0559
  Step 1,026,048 | Games 32,759 | WinRate(last100) 99.0% | epLen  27.2 | KL 0.0194
Traceback (most recent call last):
  File "/Users/bradscott/Desktop/HonoursProject/ppo_go.py", line 355, in <module>
    train()
  File "/Users/bradscott/Desktop/HonoursProject/ppo_go.py", line 304, in train
    loss.backward()
  File "/opt/miniconda3/envs/rl_project/lib/python3.10/site-packages/torch/_tensor.py", line 631, in backward
    torch.autograd.backward(
  File "/opt/miniconda3/envs/rl_project/lib/python3.10/site-packages/torch/autograd/__init__.py", line 381, in backward
    _engine_run_backward(
  File "/opt/miniconda3/envs/rl_project/lib/python3.10/site-packages/torch/autograd/graph.py", line 869, in _engine_run_backward
    return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
KeyboardInterrupt
