  Step     2,048 | Games     53 | WinRate(last100) 50.9% | epLen  38.6 | KL 0.0045
  Step   139,264 | Games  3,928 | WinRate(last100) 95.0% | epLen  30.7 | KL 0.0134
  Step   141,312 | Games  3,990 | WinRate(last100) 93.0% | epLen  31.8 | KL 0.0106
  Step   143,360 | Games  4,048 | WinRate(last100) 95.0% | epLen  33.7 | KL 0.0111
  Step   145,408 | Games  4,110 | WinRate(last100) 97.0% | epLen  34.8 | KL 0.0115
  Step   147,456 | Games  4,171 | WinRate(last100) 97.0% | epLen  33.4 | KL 0.0142
  Step   149,504 | Games  4,233 | WinRate(last100) 94.0% | epLen  33.4 | KL 0.0121
  Step   151,552 | Games  4,292 | WinRate(last100) 97.0% | epLen  34.5 | KL 0.0156
  Step   153,600 | Games  4,354 | WinRate(last100) 95.0% | epLen  33.5 | KL 0.0163
  Step   155,648 | Games  4,412 | WinRate(last100) 92.0% | epLen  34.1 | KL 0.0094
  Step   157,696 | Games  4,476 | WinRate(last100) 92.0% | epLen  33.2 | KL 0.0111
  Step   159,744 | Games  4,540 | WinRate(last100) 98.0% | epLen  32.0 | KL 0.0129
  Step   161,792 | Games  4,599 | WinRate(last100) 96.0% | epLen  33.5 | KL 0.0135
  Step   163,840 | Games  4,659 | WinRate(last100) 95.0% | epLen  34.6 | KL 0.0152
  Step   165,888 | Games  4,720 | WinRate(last100) 92.0% | epLen  34.3 | KL 0.0096
  Step   167,936 | Games  4,780 | WinRate(last100) 93.0% | epLen  33.9 | KL 0.0160
  Step   169,984 | Games  4,842 | WinRate(last100) 98.0% | epLen  33.4 | KL 0.0109
  Step   172,032 | Games  4,906 | WinRate(last100) 99.0% | epLen  32.1 | KL 0.0148
  Step   174,080 | Games  4,966 | WinRate(last100) 98.0% | epLen  33.2 | KL 0.0128
  Step   176,128 | Games  5,029 | WinRate(last100) 94.0% | epLen  33.2 | KL 0.0137
  Step   178,176 | Games  5,088 | WinRate(last100) 98.0% | epLen  33.9 | KL 0.0154
  Step   180,224 | Games  5,150 | WinRate(last100) 96.0% | epLen  33.7 | KL 0.0136
  Step   182,272 | Games  5,213 | WinRate(last100) 96.0% | epLen  32.9 | KL 0.0154
  Step   184,320 | Games  5,276 | WinRate(last100) 97.0% | epLen  32.4 | KL 0.0142
  Step   186,368 | Games  5,335 | WinRate(last100) 100.0% | epLen  33.8 | KL 0.0168
  Step   188,416 | Games  5,397 | WinRate(last100) 95.0% | epLen  33.5 | KL 0.0111
  Step   190,464 | Games  5,459 | WinRate(last100) 92.0% | epLen  33.4 | KL 0.0116
  Step   192,512 | Games  5,520 | WinRate(last100) 92.0% | epLen  33.6 | KL 0.0155
  Step   194,560 | Games  5,583 | WinRate(last100) 92.0% | epLen  33.1 | KL 0.0138
  Step   196,608 | Games  5,647 | WinRate(last100) 96.0% | epLen  32.3 | KL 0.0146
  Step   198,656 | Games  5,712 | WinRate(last100) 99.0% | epLen  31.8 | KL 0.0129
  Step   200,704 | Games  5,772 | WinRate(last100) 95.0% | epLen  32.8 | KL 0.0136
  ✓ saved ./models/ppo_go/ppo_go_200704.pt
  Step   202,752 | Games  5,836 | WinRate(last100) 91.0% | epLen  32.7 | KL 0.0151
  Step   204,800 | Games  5,902 | WinRate(last100) 95.0% | epLen  31.0 | KL 0.0120
  Step   206,848 | Games  5,963 | WinRate(last100) 97.0% | epLen  32.1 | KL 0.0131
  Step   208,896 | Games  6,030 | WinRate(last100) 95.0% | epLen  31.7 | KL 0.0219
  Step   210,944 | Games  6,096 | WinRate(last100) 97.0% | epLen  31.3 | KL 0.0183
